duration,y
117,no
274,yes
167,no
686,yes
157,no
126,no
84,no
17,no
704,yes
185,no
374,no
91,yes
169,yes
249,no
215,no
324,yes
159,yes
120,yes
337,yes
640,no
663,yes
403,yes
300,no
255,yes
293,yes
68,no
266,yes
272,yes
398,yes
126,no
35,no
126,no
683,yes
280,yes
161,no
191,no
1135,yes
81,no
1447,yes
436,no
132,no
328,yes
175,no
145,no
155,yes
115,yes
57,no
170,no
172,no
310,yes
711,no
63,no
87,no
154,no
124,no
328,yes
147,no
64,yes
739,yes
360,yes
105,no
113,no
767,yes
254,yes
341,no
301,no
148,no
171,yes
712,yes
104,no
39,no
229,yes
311,no
238,yes
364,yes
133,no
261,yes
389,no
160,no
70,no
206,yes
281,yes
166,yes
299,no
258,no
1011,yes
169,yes
355,no
254,yes
96,no
217,no
85,yes
232,yes
184,yes
571,yes
621,yes
600,yes
59,no
1130,yes
171,no
840,yes
206,no
747,yes
263,no
331,yes
334,no
268,no
208,yes
268,yes
346,no
363,yes
113,no
173,no
68,no
539,yes
35,no
119,no
728,yes
412,yes
314,no
99,no
25,no
252,yes
1348,yes
314,no
955,yes
224,yes
406,no
205,yes
266,yes
153,no
195,yes
316,yes
768,yes
300,yes
483,yes
391,no
276,yes
275,no
175,no
126,no
101,no
653,yes
286,yes
650,yes
450,yes
239,no
125,no
1855,yes
128,no
951,no
545,no
1019,yes
689,yes
58,no
156,yes
626,no
984,yes
632,no
1068,yes
309,yes
384,yes
846,yes
264,no
173,yes
288,no
154,yes
151,no
88,no
394,no
474,no
330,yes
292,yes
141,no
154,no
1150,yes
194,yes
113,no
423,yes
222,yes
345,no
141,no
275,no
809,yes
132,no
207,no
16,no
98,no
1806,yes
175,yes
193,yes
374,no
86,no
460,yes
207,no
11,no
496,yes
80,no
483,no
269,yes
149,no
617,yes
323,yes
815,yes
126,no
267,no
320,yes
697,yes
274,no
1062,yes
209,no
259,no
854,yes
256,yes
82,no
693,yes
738,yes
63,yes
207,yes
51,no
406,yes
546,yes
64,no
158,no
742,yes
211,no
633,yes
179,yes
1340,yes
980,yes
454,no
212,no
361,no
873,yes
629,yes
1148,yes
229,yes
202,no
342,no
383,no
151,no
568,yes
97,no
69,no
1013,no
1357,yes
417,yes
102,no
873,yes
525,yes
180,no
609,no
72,no
73,no
151,no
458,yes
238,yes
82,no
363,yes
396,yes
463,yes
634,yes
1422,yes
251,no
163,yes
135,no
345,no
144,no
525,no
388,yes
760,yes
360,yes
549,no
107,no
1311,yes
294,yes
544,yes
143,no
273,no
201,no
762,yes
143,no
886,yes
2301,yes
252,no
958,no
76,no
1234,yes
265,no
204,yes
157,no
250,yes
456,no
114,no
308,yes
154,no
185,no
73,no
73,no
604,no
314,no
196,yes
184,no
257,no
188,no
146,yes
216,no
1152,yes
553,no
174,yes
159,no
183,yes
49,no
249,yes
941,yes
181,yes
988,yes
353,no
569,yes
461,no
178,yes
109,no
113,no
111,no
73,no
213,yes
322,no
130,yes
1424,yes
9,no
1276,yes
854,yes
1319,yes
203,yes
56,no
199,no
690,yes
230,no
673,yes
458,yes
475,yes
135,no
1176,yes
344,no
40,no
219,yes
565,yes
2653,yes
218,yes
141,no
375,yes
578,yes
58,no
491,yes
592,yes
188,no
424,yes
163,yes
11,no
95,yes
191,no
116,no
198,no
149,no
424,yes
1009,yes
247,no
295,yes
393,no
155,no
1602,yes
1138,yes
285,yes
418,yes
403,yes
152,no
224,no
109,no
805,yes
244,yes
314,yes
233,yes
183,no
662,yes
232,yes
180,no
336,no
74,no
148,no
405,yes
143,no
59,no
449,yes
211,yes
1091,yes
239,no
262,no
228,no
379,no
585,no
338,yes
123,no
374,no
712,yes
83,no
159,no
357,no
1087,yes
340,no
898,no
401,no
582,yes
519,yes
455,yes
257,no
258,yes
482,yes
42,no
531,yes
259,no
530,yes
289,yes
383,no
227,no
346,yes
248,no
408,yes
179,yes
344,yes
771,yes
698,no
129,yes
387,yes
404,no
270,no
241,no
135,no
317,no
286,no
895,yes
109,no
151,no
230,yes
57,no
655,yes
367,yes
260,yes
446,no
653,yes
113,no
645,yes
587,yes
142,yes
829,yes
102,no
148,yes
1019,yes
537,yes
160,yes
204,no
164,no
523,no
362,yes
151,no
167,no
136,no
102,no
1980,yes
243,yes
192,no
482,yes
477,no
252,no
1127,yes
459,no
211,yes
193,yes
395,no
223,no
686,yes
51,no
355,yes
298,no
42,no
1143,yes
688,yes
628,yes
706,yes
608,yes
250,no
107,yes
716,yes
619,yes
406,no
73,no
127,no
187,no
180,yes
326,yes
109,yes
470,yes
73,no
141,no
115,no
171,no
498,no
365,yes
10,no
796,yes
279,yes
476,yes
479,yes
225,no
204,no
806,yes
290,no
473,yes
142,no
